Title,Released,Prod_Budget,Dom_Gross,World_Gross
Avatar,2009-12-18,425000000.0,760507625.0,2783918982.0
Star Wars Ep. VII: The Force Awakens,2015-12-18,306000000.0,936662225.0,2058662225.0
Spectre,2015-11-06,300000000.0,200074175.0,879620923.0
Pirates of the Caribbean: At World's End,2007-05-24,300000000.0,309420425.0,963420425.0
The Lone Ranger,2013-07-02,275000000.0,89302115.0,260002115.0
The Dark Knight Rises,2012-07-20,275000000.0,448139099.0,1084439099.0
John Carter,2012-03-09,275000000.0,73058679.0,282778100.0
Tangled,2010-11-24,260000000.0,200821936.0,586581936.0
Spider-Man 3,2007-05-04,258000000.0,336530303.0,890875303.0
Avengers: Age of Ultron,2015-05-01,250000000.0,459005868.0,1404705868.0
Pirates of the Caribbean: On Stranger Tides,2011-05-20,250000000.0,241063875.0,1045663875.0
Captain America: Civil War,2016-05-06,250000000.0,405730681.0,1149330681.0
The Hobbit: An Unexpected Journey,2012-12-14,250000000.0,303003568.0,1017003568.0
The Hobbit: The Battle of the Five Armies,2014-12-17,250000000.0,255119788.0,955119788.0
Harry Potter and the Half-Blood Prince,2009-07-15,250000000.0,301959197.0,935083686.0
Batman v Superman: Dawn of Justice,2016-03-25,250000000.0,330360194.0,868160194.0
The Hobbit: The Desolation of Smaug,2013-12-13,250000000.0,258366855.0,960366855.0
Superman Returns,2006-06-28,232000000.0,200120000.0,374085065.0
Quantum of Solace,2008-11-14,230000000.0,169368427.0,591692078.0
Man of Steel,2013-06-14,225000000.0,291045518.0,667999518.0
The Chronicles of Narnia: Prince Caspian,2008-05-16,225000000.0,141621490.0,417341288.0
The Avengers,2012-05-04,225000000.0,623279547.0,1519479547.0
Pirates of the Caribbean: Dead Man's Chest,2006-07-07,225000000.0,423315812.0,1066215812.0
The Amazing Spider-Man,2012-07-03,220000000.0,262030663.0,757890267.0
Men in Black 3,2012-05-25,215000000.0,179020854.0,654213485.0
Jurassic World,2015-06-12,215000000.0,652198010.0,1670328025.0
Transformers: Revenge of the Fallen,2009-06-24,210000000.0,402111870.0,836519699.0
X-Men: The Last Stand,2006-05-26,210000000.0,234362462.0,459359555.0
Transformers: Age of Extinction,2014-06-27,210000000.0,245439076.0,1104039076.0
Robin Hood,2010-05-14,210000000.0,105269730.0,322241588.0
Battleship,2012-05-18,209000000.0,65233400.0,305218228.0
King Kong,2005-12-14,207000000.0,218080025.0,550517357.0
The Golden Compass,2007-12-01,205000000.0,70107728.0,367262558.0
Toy Story 3,2010-06-18,200000000.0,415004880.0,1069818229.0
Tron: Legacy,2010-12-17,200000000.0,172062763.0,397562763.0
2012,2009-11-13,200000000.0,166112167.0,788408539.0
The Amazing Spider-Man 2,2014-05-02,200000000.0,202853933.0,708996336.0
Green Lantern,2011-06-17,200000000.0,116601172.0,231201172.0
Terminator Salvation,2009-05-21,200000000.0,125322469.0,365491792.0
Spider-Man 2,2004-06-30,200000000.0,373524485.0,783705001.0
Cars 2,2011-06-24,200000000.0,191450875.0,560155383.0
X-Men: Days of Future Past,2014-05-23,200000000.0,233921534.0,747862775.0
Iron Man 3,2013-05-03,200000000.0,408992272.0,1215392272.0
Prince of Persia: Sands of Time,2010-05-28,200000000.0,90759676.0,314594597.0
Monsters University,2013-06-21,200000000.0,268488329.0,743588329.0
Oz the Great and Powerful,2013-03-08,200000000.0,234770996.0,490359051.0
Skyfall,2012-11-08,200000000.0,304360277.0,1110526981.0
Titanic,1997-12-19,200000000.0,658672302.0,2207615668.0
Alice in Wonderland,2010-03-05,200000000.0,334191110.0,1025491110.0
Transformers: Dark of the Moon,2011-06-29,195000000.0,352390543.0,1123790543.0
Jack the Giant Slayer,2013-03-01,195000000.0,65187603.0,197687603.0
