Title,Released,Prod_Budget,Dom_Gross,World_Gross
 The Force Awakens,2015-12-18,306000000.0,936662225.0,2058662225.0
 At Worlds End,2007-05-24,300000000.0,309420425.0,963420425.0
The Lone Ranger,2013-07-02,275000000.0,89302115.0,260002115.0
 Age of Ultron,2015-05-01,250000000.0,459005868.0,1404705868.0
 On Stranger Tides,2011-05-20,250000000.0,241063875.0,1045663875.0
 An Unexpected Journey,2012-12-14,250000000.0,303003568.0,1017003568.0
 The Battle of the Five Armies,2014-12-17,250000000.0,255119788.0,955119788.0
 The Desolation of Smaug,2013-12-13,250000000.0,258366855.0,960366855.0
 Prince Caspian,2008-05-16,225000000.0,141621490.0,417341288.0
 Dead Mans Chest,2006-07-07,225000000.0,423315812.0,1066215812.0
 Revenge of the Fallen,2009-06-24,210000000.0,402111870.0,836519699.0
 The Last Stand,2006-05-26,210000000.0,234362462.0,459359555.0
 Age of Extinction,2014-06-27,210000000.0,245439076.0,1104039076.0
The Golden Compass,2007-12-01,205000000.0,70107728.0,367262558.0
 Sands of Time,2010-05-28,200000000.0,90759676.0,314594597.0
Skyfall,2012-11-08,200000000.0,304360277.0,1110526981.0
 Dark of the Moon,2011-06-29,195000000.0,352390543.0,1123790543.0
Star Trek Into Darkness,2013-05-15,190000000.0,228778661.0,467381584.0
 The Lion the Witch & the Wardrobe,2005-12-09,180000000.0,291710957.0,720539572.0
Singularity,2020-12-31,175000000.0,0.0,0.0
 Rise of the Machines,2003-07-01,170000000.0,150358296.0,433058296.0
 The Winter Soldier,2014-04-04,170000000.0,259746958.0,714401889.0
Interstellar,2014-11-05,165000000.0,188017894.0,665417894.0
 First Class,2011-06-03,160000000.0,146408305.0,355408305.0
Shrek the Third,2007-05-17,160000000.0,322719944.0,807330936.0
Transformers,2007-07-02,151000000.0,319246193.0,708272592.0
 The Dark World,2013-11-08,150000000.0,206360018.0,644600394.0
Hancock,2008-07-01,150000000.0,227946274.0,624234272.0
 Wolverine,2009-05-01,150000000.0,179883157.0,374825760.0
Angels & Demons,2009-05-15,150000000.0,133375846.0,490875846.0
Tarzan,1999-06-16,145000000.0,171091819.0,448191819.0
 ImpossibleÂGhost Protocol,2011-12-16,145000000.0,209397903.0,694713230.0
 Retaliation,2013-03-27,140000000.0,122523060.0,375740705.0
 The Spirits Within,2001-07-11,137000000.0,32131830.0,85131830.0
 Breaking Dawn Part 2,2012-11-16,136200000.0,292324737.0,829724737.0
The Croods,2012-10-01,135000000.0,187168425.0,573068425.0
Happy Feet Two,2011-11-18,135000000.0,64006466.0,157956466.0
 The Far Side of the World,2003-11-14,135000000.0,93926386.0,212912137.0
 Breaking Dawn Part 1,2011-11-18,127500000.0,281287133.0,689420051.0
Harry Potter & the SorcererÂs Stone,2001-11-16,125000000.0,317575550.0,974755371.0
 A Game of Shadows,2011-12-16,125000000.0,186848418.0,535663443.0
 The Curse of the Black Pearl,2003-07-09,125000000.0,305411224.0,634954103.0
 Impossible 2,2000-05-24,120000000.0,215409889.0,549588516.0
 Full Throttle,2003-06-27,120000000.0,100814328.0,227200000.0
 Attack of the Clones,2002-05-16,115000000.0,310676740.0,656695615.0
 The Phantom Menace,1999-05-19,115000000.0,474544677.0,1027044677.0
 Revenge of the Sith,2005-05-19,115000000.0,380270577.0,848998877.0
 WinterÂs War,2016-04-22,115000000.0,48003015.0,164602163.0
AstÃ©rix aux Jeux Olympiques,2008-07-04,113500000.0,999811.0,132999811.0
 Allegiant,2016-03-18,110000000.0,66184051.0,171484051.0
 Cruise Control,1997-06-13,110000000.0,48097081.0,150468000.0
 The Fellowship of the Ring,2001-12-19,109000000.0,315544750.0,887217688.0
Gone in 60 Seconds,2000-06-09,103300000.0,101643008.0,232643008.0
The Hangover III,2013-05-23,103000000.0,112200072.0,362000072.0
 Judgment Day,1991-07-02,100000000.0,201858746.0,513815401.0
 Never Go Back,2016-10-21,96000000.0,0.0,0.0
Black Hawk Down,2001-12-28,95000000.0,108638745.0,159691085.0
 Continental Drift,2012-07-13,95000000.0,161321843.0,879765137.0
 The Return of the King,2003-12-17,94000000.0,377845905.0,1141408667.0
 The Two Towers,2002-12-18,94000000.0,342548984.0,934703179.0
 Tomb Raider,2001-06-15,94000000.0,131144183.0,273330185.0
Men in Black,1997-07-01,90000000.0,250690539.0,587790539.0
 With a Vengeance,1995-05-19,90000000.0,100012499.0,366101666.0
The Girl with the Dragon Tattoo,2011-12-20,90000000.0,102515793.0,239373970.0
 The Road Chip,2015-12-18,90000000.0,85886987.0,235296080.0
Memoirs of a Geisha,2005-12-09,85000000.0,57010853.0,161510853.0
 The Klumps,2000-07-28,84000000.0,123307945.0,166307945.0
 Back in Action,2003-11-14,80000000.0,20950820.0,54540662.0
 Impossible,1996-05-21,80000000.0,180981886.0,457697994.0
Walking with Dinosaurs,2013-12-20,80000000.0,36076121.0,130580730.0
Oceans,2010-04-22,80000000.0,19422319.0,86787530.0
Fantasia 2000 (IMAX),2000-01-01,80000000.0,60507228.0,60507228.0
Batman Returns,1992-06-18,80000000.0,162833635.0,266824291.0
Don Gato el inicio de la pandilla,2015-12-31,80000000.0,0.0,4116170.0
 Chipwrecked,2011-12-16,80000000.0,133107389.0,349088523.0
The Lion King,1994-06-15,79300000.0,422780140.0,987480140.0
 Au service de Sa MajestÃ© ,2012-12-31,77600000.0,0.0,60680125.0
Independence Day,1996-07-02,75000000.0,306169255.0,817400878.0
 Jurassic Park,1997-05-22,75000000.0,229086679.0,618638999.0
Munich,2005-12-23,75000000.0,47379090.0,131492772.0
Seven Years in Tibet,1997-10-08,70000000.0,37945884.0,131445884.0
Die Hard 2,1990-07-03,70000000.0,117323878.0,239814025.0
Agora,2010-05-28,70000000.0,619423.0,38992292.0
Big Fish,2003-12-10,70000000.0,66432867.0,123954323.0
Inglourious Basterds,2009-08-20,70000000.0,120774594.0,316915264.0
 The Squeakquel,2009-12-23,70000000.0,219614612.0,443483213.0
 Eclipse,2010-06-30,68000000.0,300531751.0,706102828.0
 Trinity,2004-12-08,65000000.0,52397389.0,132397389.0
Lincoln,2012-11-09,65000000.0,182207973.0,273346281.0
 The Story of a Murderer,2006-12-27,63700000.0,2223293.0,133603463.0
Austin Powers in Goldmember,2002-07-25,63000000.0,213117789.0,292738626.0
 A Dungeon Siege Tale,2008-01-11,60000000.0,4775656.0,13075656.0
300,2007-03-09,60000000.0,210614939.0,454161935.0
 Legend of the Seven Seas,2003-07-02,60000000.0,26483452.0,80767884.0
 Armed & Fabulous,2005-03-24,60000000.0,48478006.0,101382396.0
Inkheart,2009-01-23,60000000.0,17303424.0,66655938.0
Reign of Fire,2002-02-19,60000000.0,43061982.0,82150183.0
 City of Bones,2013-08-21,60000000.0,31165421.0,75965567.0
Michael Jacksons This Is It,2009-10-28,60000000.0,72091016.0,252091016.0
 Afterlife,2010-09-10,57500000.0,60128566.0,295874190.0
Dragonheart,1996-05-31,57000000.0,51364680.0,104364680.0
Lolita,1998-07-22,55000000.0,1147784.0,1147784.0
Pocahontas,1995-06-10,55000000.0,141579773.0,347100000.0
George Of The Jungle,1997-07-16,55000000.0,105263257.0,174463257.0
A Very Long Engagement,2004-11-26,55000000.0,6167817.0,69759296.0
Aeon Flux,2005-12-02,55000000.0,25857987.0,47953341.0
Superman II,1981-06-19,54000000.0,108185706.0,108185706.0
 Part III,1990-12-25,54000000.0,66520529.0,66520529.0
The Thin Red Line,1998-12-23,52000000.0,36400491.0,97709034.0
 Fully Loaded,2005-06-22,50000000.0,66010682.0,144110682.0
Super 8,2011-06-09,50000000.0,127004179.0,257972745.0
Outlander,2009-01-23,50000000.0,166003.0,1250617.0
 Prince of Thieves,1991-06-14,50000000.0,165493908.0,390500000.0
As Good as it Gets,1997-12-24,50000000.0,148478011.0,314111923.0
Hannibal the Conqueror,2020-12-31,50000000.0,0.0,0.0
 The Legend Continues,2013-12-18,50000000.0,127352707.0,172185754.0
Story of Your Life,2016-11-11,50000000.0,0.0,0.0
We Bought a Zoo,2011-11-26,50000000.0,75624550.0,118729073.0
Eastern Promises,2007-09-14,50000000.0,17181265.0,56077088.0
Defiance,2008-12-31,50000000.0,28644813.0,52987754.0
Unfaithful,2002-05-08,50000000.0,52752475.0,119114494.0
 The Legend of Chun-Li,2009-02-27,50000000.0,9135036.0,12335036.0
Anna Karenina,2012-11-16,49000000.0,12816367.0,71004627.0
10 to Yuma,2007-09-02,48000000.0,53606916.0,71171825.0
K-PAX,2001-08-13,48000000.0,50315140.0,50315140.0
Taken III,2015-01-09,48000000.0,89256424.0,327656424.0
Traffic,2000-12-27,48000000.0,124107476.0,208300000.0
Inchon,1982-09-17,46000000.0,4408636.0,4408636.0
Galaxy Quest,1999-12-24,45000000.0,71423726.0,90523726.0
 Evolution,2006-01-20,45000000.0,62318875.0,113417762.0
Frankenstein,1994-11-04,45000000.0,22006296.0,112006296.0
 Royal Engagement,2004-08-11,45000000.0,95149435.0,122071435.0
Foodfight,2012-12-31,45000000.0,0.0,73706.0
Across the Universe,2007-09-14,45000000.0,24343673.0,29367143.0
Revolutionary Road,2008-12-26,45000000.0,22911480.0,79564960.0
Nixon,1995-12-20,45000000.0,13668249.0,34668249.0
Man cheng jin dai huang jin jia,2006-12-21,45000000.0,6566773.0,75566773.0
 First Blood Part II,1985-05-22,44000000.0,150415432.0,300400000.0
The Interview,2014-02-06,44000000.0,6105175.0,12342632.0
Finding Forrester,2000-12-19,43000000.0,51768623.0,80013623.0
Cleopatra,1963-06-12,42000000.0,57000000.0,71000000.0
Chicken Run,2000-06-21,42000000.0,106793915.0,227793915.0
Micmacs,2010-05-28,42000000.0,1259693.0,11756922.0
